#	Flow	RO			ACO				"ACO w/o reroute"
	10	 	227			388.6666667		310
	20		341.67		338.6666667		347
	30		375			476.3333333		585
	40		7416		3765.666667		2499
	50		1000000		9918.333333		337221.6667
	60		1000000		95609			477110.3333
	70		1000000		417421			628412
